trial,max_depth,min_child_weight,learning_rate,reg_lambda,reg_alpha,gamma,subsample,colsample_bytree,cv_balanced_acc,cv_acc,cv_ht_recall,cv_wt_recall,cv_ht_precision,cv_wt_precision,cv_best_iter
148,8,3,0.02,10.0,1.0,2.0,0.7,0.8,0.8196825362750635,0.7674985566577442,0.9226962760159202,0.7166687965342071,0.5165214774658551,0.9661841936719116,233.4
137,8,8,0.05,1.5,2.0,4.0,0.8,0.7,0.8196256651692664,0.7630346926993125,0.9313365612932121,0.7079147690453209,0.511063379715664,0.9694975268904393,76.2
54,8,3,0.02,1.5,0.5,0.1,0.7,1.0,0.8195654304296192,0.7779456274190777,0.9017246769927583,0.73740618386648,0.5295674191213772,0.9583346859609068,234.8
116,8,3,0.08,6.0,0.05,0.1,0.8,0.7,0.8189509520902654,0.7851501436138408,0.8856828994177842,0.7522190047627464,0.5406676190065876,0.9531955057593237,88.2
83,8,2,0.08,3.0,1.0,0.0,0.6,0.7,0.8186289324663669,0.7840345764086352,0.8869208473817191,0.7503370175510149,0.5392582273546906,0.9538101155717664,86.6
132,8,8,0.05,0.5,0.05,1.0,0.8,0.7,0.8182636890655053,0.7697289192273772,0.9140695109894288,0.7224578671415818,0.5193341760167203,0.9627880195932441,84.6
173,8,2,0.08,6.0,0.05,4.0,1.0,0.7,0.8181416649248622,0.7724689539910857,0.9083031240229505,0.7279802058267737,0.5224722582268868,0.9605344477073103,41.6
107,8,8,0.03,6.0,2.0,0.5,0.8,0.7,0.817969130558988,0.7622240540576699,0.9280274799097523,0.707910781208224,0.511461937289522,0.9684487076515553,142.4
199,7,3,0.08,10.0,2.0,0.5,1.0,0.6,0.8178507072727953,0.7736860954427434,0.9050236181881175,0.7306777963574734,0.5241445495346211,0.9593098166657521,92.8
66,7,3,0.03,1.5,0.0,0.1,1.0,0.6,0.8176652460591509,0.7563433991662061,0.9387236883244185,0.6966068037938832,0.5039914233530169,0.9721374863540049,75.2
76,7,8,0.03,1.0,2.0,0.1,1.0,0.7,0.8176306701331107,0.766280231716893,0.9189984874219418,0.7162628528442795,0.5157136421468029,0.9650075310895939,152.0
103,8,5,0.03,10.0,0.05,0.1,0.7,0.7,0.8174820065036886,0.7668889053548253,0.9173540869183123,0.7176099260890647,0.5160616255233247,0.964109000189002,162.4
135,8,5,0.02,6.0,0.05,0.0,0.7,0.7,0.8171374596386503,0.7549200218585309,0.9399624813040282,0.6943124379732725,0.5021591274993245,0.9727571407317187,87.2
142,7,8,0.08,3.0,1.0,0.1,0.8,0.7,0.8169842014213069,0.7719609798467226,0.9058508885339824,0.7281175143086314,0.5219610105153434,0.9595693686567388,87.2
4,6,5,0.15,10.0,2.0,0.5,0.9,0.8,0.8165963139266544,0.7699323764565922,0.9087121116096704,0.7244805162436387,0.5193295246530198,0.9604436455030043,59.4
44,6,1,0.08,6.0,1.0,0.0,0.8,0.6,0.8165340439533647,0.7660771346800411,0.9161296592051782,0.7169384287015512,0.5148438985847833,0.963490605028308,92.0
118,8,5,0.02,0.5,1.0,1.0,0.6,0.8,0.8165198614307047,0.7587732568490578,0.9305109809786971,0.7025287418827123,0.5067339360153512,0.968916021741401,86.8
186,8,12,0.02,1.0,0.0,1.0,0.8,0.6,0.8163747588398103,0.7477166891529614,0.9519000177453292,0.6808494999342913,0.494369996297776,0.977507336994976,55.6
