trial,max_depth,min_child_weight,learning_rate,reg_lambda,reg_alpha,gamma,subsample,colsample_bytree,cv_balanced_acc,cv_acc,cv_ht_recall,cv_wt_recall,cv_ht_precision,cv_wt_precision,cv_best_iter
42,3,5,0.08,10.0,1.0,4.0,1.0,0.7,0.786132304802625,0.6736555760469982,0.9976263058298986,0.5746383037753511,0.4285532105421662,0.997872001563332,2.8
24,3,3,0.03,3.0,0.2,4.0,0.6,0.8,0.7849679166599252,0.6756258381934882,0.9903796065258401,0.5795562267940104,0.42899940132346703,0.9911251293212485,11.6
117,3,20,0.1,3.0,0.05,0.0,0.6,0.6,0.7846729543877609,0.6730493235841016,0.9944155844155844,0.5749303243599372,0.42792030370320483,0.9959100359100358,3.0
170,3,12,0.15,1.5,2.0,1.0,0.7,0.6,0.7845060640923694,0.672699572535777,0.9940873663927556,0.5749247617919834,0.42810922492152137,0.9950779167219007,1.0
16,3,3,0.1,10.0,0.2,0.0,1.0,0.6,0.7840395705217666,0.67290323115069,0.9898057564524632,0.5782733845910704,0.42821144953593926,0.9883690289015739,2.8
65,3,2,0.05,3.0,1.0,2.0,0.9,0.6,0.7840380311833177,0.6722717094526082,0.9910755977223044,0.5770004646443312,0.42802014730912485,0.9893126070690993,2.6
59,3,12,0.15,10.0,0.5,2.0,0.9,0.6,0.7838338685796266,0.6723306032711601,0.9901232167699234,0.5775445203893298,0.4282096572763644,0.9886024185058222,2.6
155,3,20,0.02,3.0,0.0,0.0,0.9,0.8,0.7836417431269644,0.6731097199239124,0.9845068304948544,0.5827766557590744,0.4293228688226972,0.982387005042691,14.2
57,3,8,0.1,10.0,1.0,0.5,0.9,0.6,0.7835618407071272,0.6719695946489828,0.9901232167699234,0.5770004646443312,0.42778274533426847,0.988600028130714,2.6
35,3,3,0.05,1.5,0.5,4.0,0.6,0.8,0.7829863626085457,0.6727333918993044,0.9891097652559988,0.5768629599610928,0.42824945914678797,0.9901829617137059,21.4
179,3,2,0.08,3.0,0.2,0.5,0.9,0.7,0.7828766730655671,0.6733380602928809,0.9812780499606847,0.5844752961704496,0.42969112962076694,0.9803184043943569,7.6
180,3,12,0.05,6.0,0.2,0.1,0.6,0.6,0.7827878526942904,0.6712991666158901,0.9915584415584415,0.5740172638301393,0.4270588451910311,0.9938662919409724,7.8
45,3,2,0.15,1.0,0.2,4.0,0.7,0.6,0.7819511483125873,0.6832035041639479,0.9761121437833866,0.5877901528417878,0.4286718270421034,0.9918604722325197,19.0
130,3,20,0.1,0.5,0.0,0.0,0.8,0.7,0.7818493827314942,0.6704575567190273,0.9893077049364475,0.5743910605265411,0.4263595998119974,0.9893005519566958,2.8
102,3,20,0.1,6.0,2.0,0.1,0.8,0.7,0.7817017355726874,0.6701176534680253,0.9893077049364475,0.5740957662089272,0.42637970583674206,0.9893131746333342,5.2
127,3,5,0.02,1.0,2.0,4.0,1.0,0.7,0.7810073239183931,0.6730732441208501,0.9710081136428442,0.5910065341939422,0.4303384516745778,0.9718194484810707,12.4
133,3,12,0.08,6.0,0.2,0.0,1.0,0.8,0.7809934434996386,0.6668891237439474,0.9931818613854542,0.5688050256138228,0.42646582840258934,0.994615385783019,2.8
187,3,8,0.03,1.0,0.0,0.1,1.0,0.6,0.7808184778752688,0.6706604304999394,0.9834565501032568,0.578180405647281,0.42685452354847664,0.9838066147929968,10.8
5,3,3,0.1,1.5,1.0,0.0,0.7,0.8,0.7800520648179833,0.6740199256637699,0.9724644586868919,0.5876396709490747,0.4283898859122127,0.9759951865989762,14.4
169,4,3,0.02,10.0,0.0,0.1,1.0,0.5,0.7783260800425525,0.6738965348752823,0.9752825855910989,0.5813695744940058,0.42863108618797224,0.9870912736100864,11.8
172,4,5,0.02,10.0,0.05,0.0,1.0,0.5,0.7783184275831397,0.6738825978366191,0.9752825855910989,0.5813542695751804,0.42864099394894195,0.9870863238779851,11.8
190,3,12,0.05,3.0,0.5,2.0,0.7,0.7,0.7781640672207942,0.6697045016113876,0.9793291739823067,0.5769989604592816,0.4249717313559033,0.9829150003509968,3.2
25,3,12,0.02,1.0,0.5,1.0,0.7,0.7,0.7779457656405402,0.6728286387672362,0.9686583911682494,0.5872331401128309,0.42753742683972157,0.9741026098949401,5.4
50,3,2,0.15,6.0,2.0,0.1,0.7,0.5,0.7776446305524349,0.6731044054978713,0.9747715316590609,0.580517729445809,0.4269366012475885,0.9881129755563638,4.4
64,3,8,0.05,1.5,1.0,1.0,0.8,0.5,0.7772023225713712,0.6729754550753209,0.9753399863175962,0.5790646588251465,0.4266794989256919,0.988681503228233,13.6
41,3,8,0.08,6.0,0.2,1.0,0.8,0.5,0.7771998522493548,0.6727430254650119,0.9760975620751721,0.5783021424235376,0.4261507604938024,0.9892142433154077,5.0
22,3,20,0.15,0.5,0.0,0.0,0.8,0.5,0.7770352410467484,0.6729615180366577,0.9748277208053308,0.5792427612881661,0.42659674608033216,0.9882708475082955,5.4
159,4,12,0.15,1.5,0.5,0.0,1.0,0.7,0.7763495481451199,0.6744674688157155,0.965390017914894,0.5873090783753458,0.43032270407775075,0.9802149169079384,8.0
151,5,20,0.08,0.5,0.05,0.5,0.7,0.6,0.7753386635060112,0.6740201292860365,0.9653990212685866,0.585278305743436,0.42936073356496385,0.9841792526516719,2.8
32,4,1,0.05,3.0,0.0,0.0,0.7,0.6,0.7752932794334997,0.6718571917898886,0.9728086577026132,0.577777901164386,0.42493566541839456,0.989126842535246,2.6
