label,model,split,test_balanced_accuracy,test_auc,test_average_precision,test_mcc,test_accuracy,ht_recall,ht_precision,ht_f1,wt_f1,test_macro_f1,epochs_trained,total_params,num_test,ht_support,wt_support,cv_folds,ht_class_index,results_dir
A_control__bilstm__dependent,bilstm,dependent,0.5,0.7903091060985798,0.49174905974336897,0.0,0.23170731707317074,1.0,0.23170731707317074,0.37623762376237624,0.0,0.18811881188118812,16,148953,82,19,63,,1,results/neural_networks/experiments/A_control__bilstm__dependent
B_beta0.5__bilstm__dependent,bilstm,dependent,0.5,0.6649958228905597,0.501384201580703,0.0,0.7682926829268293,0.0,0.0,0.0,0.8689655172413793,0.43448275862068964,16,148953,82,19,63,,1,results/neural_networks/experiments/B_beta0.5__bilstm__dependent
C_beta0__bilstm__dependent,bilstm,dependent,0.5680868838763575,0.6624895572263994,0.39053686310919533,0.15730564495591787,0.7317073170731707,0.2631578947368421,0.38461538461538464,0.3125,0.8333333333333334,0.5729166666666667,34,148953,82,19,63,,1,results/neural_networks/experiments/C_beta0__bilstm__dependent
D_sampler__bilstm__dependent,bilstm,dependent,0.6282372598162071,0.7761069340016709,0.5261578017553005,0.2302650756601806,0.6829268292682927,0.5263157894736842,0.37037037037037035,0.43478260869565216,0.7796610169491526,0.6072218128224024,16,148953,82,19,63,,1,results/neural_networks/experiments/D_sampler__bilstm__dependent
E_focal__bilstm__dependent,bilstm,dependent,0.5233918128654971,0.6791979949874687,0.40165709484393025,0.06032185711451521,0.7195121951219512,0.15789473684210525,0.3,0.20689655172413793,0.8296296296296296,0.5182630906768838,29,148953,82,19,63,,1,results/neural_networks/experiments/E_focal__bilstm__dependent
F_regsmall__bilstm__dependent,bilstm,dependent,0.5263157894736842,0.6833751044277361,0.425891608480705,0.20232565955562798,0.7804878048780488,0.05263157894736842,1.0,0.1,0.875,0.4875,24,16857,82,19,63,,1,results/neural_networks/experiments/F_regsmall__bilstm__dependent
G_augment__bilstm__dependent,bilstm,dependent,0.5705931495405179,0.672514619883041,0.3778215773509025,0.14694624419488223,0.7073170731707317,0.3157894736842105,0.35294117647058826,0.3333333333333333,0.8125,0.5729166666666666,28,148953,82,19,63,,1,results/neural_networks/experiments/G_augment__bilstm__dependent
H_cv_Dsampler__bilstm__dependent,bilstm,dependent,0.6109159014817516,0.6318162230251599,0.3273633979930539,0.18901397021251312,0.5906862745098039,0.6494845360824743,0.32142857142857145,0.4300341296928328,0.6806883365200764,0.5553612331064546,17,148953,408,97,311,5,1,results/neural_networks/experiments/H_cv_Dsampler__bilstm__dependent
A_control__bilstm__independent,bilstm,independent,0.6549295774647887,0.7487027427724241,0.3474519708409652,0.2942418958767542,0.45555555555555555,1.0,0.27941176470588236,0.4367816091954023,0.4731182795698925,0.4549499443826474,16,148953,90,19,71,,1,results/neural_networks/experiments/A_control__bilstm__independent
B_beta0.5__bilstm__independent,bilstm,independent,0.5507783543365455,0.6234247590808006,0.3054513581042508,0.15474852782626075,0.7777777777777778,0.15789473684210525,0.42857142857142855,0.23076923076923078,0.8701298701298701,0.5504495504495505,24,148953,90,19,71,,1,results/neural_networks/experiments/B_beta0.5__bilstm__independent
