run,objective,threshold,accuracy,balanced_accuracy,ht_recall,ht_precision,ht_f1,wt_recall,wt_precision,test_auc
xgboost / dependent,@0.5,0.5000,0.7274,0.7948,0.9366,0.4899,0.6433,0.6529,0.9666,0.8761
xgboost / dependent,youden,0.5281,0.7367,0.7941,0.9150,0.4992,0.6459,0.6733,0.9570,0.8761
xgboost / dependent,f1,0.6174,0.7667,0.7737,0.7883,0.5380,0.6395,0.7591,0.9097,0.8761
xgboost / dependent,target_recall,0.6297,0.7777,0.7756,0.7713,0.5551,0.6455,0.7800,0.9055,0.8761
xgboost / dependent,balanced,0.5280,0.7363,0.7939,0.9150,0.4987,0.6456,0.6727,0.9570,0.8761
xgboost / independent,@0.5,0.5000,0.6924,0.6778,0.6459,0.4522,0.5320,0.7096,0.8438,0.7701
xgboost / independent,youden,0.1280,0.7050,0.7972,0.9983,0.4785,0.6469,0.5962,0.9989,0.7701
xgboost / independent,f1,0.1280,0.7050,0.7972,0.9983,0.4785,0.6469,0.5962,0.9989,0.7701
xgboost / independent,target_recall,0.4392,0.7041,0.7276,0.7789,0.4718,0.5876,0.6763,0.8918,0.7701
xgboost / independent,balanced,0.0860,0.7036,0.7963,0.9983,0.4773,0.6458,0.5942,0.9989,0.7701
xgboost_tuned_dependent / dependent,@0.5,0.5000,0.7708,0.7983,0.8563,0.5400,0.6623,0.7404,0.9354,0.8849
xgboost_tuned_dependent / dependent,youden,0.3655,0.7306,0.8005,0.9474,0.4932,0.6487,0.6535,0.9722,0.8849
xgboost_tuned_dependent / dependent,f1,0.5681,0.7890,0.7873,0.7836,0.5716,0.6610,0.7910,0.9113,0.8849
xgboost_tuned_dependent / dependent,target_recall,0.5472,0.7846,0.7922,0.8083,0.5624,0.6633,0.7761,0.9192,0.8849
xgboost_tuned_dependent / dependent,balanced,0.3650,0.7306,0.8005,0.9474,0.4932,0.6487,0.6535,0.9722,0.8849
xgboost_tuned_independent / independent,@0.5,0.5000,0.6952,0.7253,0.7910,0.4631,0.5842,0.6596,0.8948,0.7530
xgboost_tuned_independent / independent,youden,0.2880,0.7036,0.7968,1.0000,0.4773,0.6462,0.5936,1.0000,0.7530
xgboost_tuned_independent / independent,f1,0.2880,0.7036,0.7968,1.0000,0.4773,0.6462,0.5936,1.0000,0.7530
xgboost_tuned_independent / independent,target_recall,0.5232,0.6942,0.7057,0.7306,0.4593,0.5640,0.6808,0.8719,0.7530
xgboost_tuned_independent / independent,balanced,0.2230,0.7036,0.7968,1.0000,0.4773,0.6462,0.5936,1.0000,0.7530
tabpfn / dependent,@0.5,0.5000,0.7834,0.8277,0.9212,0.5524,0.6906,0.7343,0.9632,0.9081
tabpfn / dependent,youden,0.4540,0.7663,0.8217,0.9382,0.5311,0.6782,0.7052,0.9697,0.9081
tabpfn / dependent,f1,0.6171,0.8195,0.8169,0.8114,0.6191,0.7023,0.8223,0.9246,0.9081
tabpfn / dependent,target_recall,0.6171,0.8195,0.8169,0.8114,0.6191,0.7023,0.8223,0.9246,0.9081
tabpfn / dependent,balanced,0.4530,0.7659,0.8214,0.9382,0.5306,0.6778,0.7046,0.9697,0.9081
tabpfn / independent,@0.5,0.5000,0.7129,0.6620,0.5509,0.4740,0.5096,0.7731,0.8226,0.7830
tabpfn / independent,youden,0.0055,0.7031,0.7959,0.9983,0.4769,0.6454,0.5936,0.9989,0.7830
tabpfn / independent,f1,0.0055,0.7031,0.7959,0.9983,0.4769,0.6454,0.5936,0.9989,0.7830
tabpfn / independent,target_recall,0.0948,0.6868,0.7424,0.8636,0.4583,0.5988,0.6212,0.9246,0.7830
tabpfn / independent,balanced,0.0050,0.7036,0.7968,1.0000,0.4773,0.6462,0.5936,1.0000,0.7830
