run_id,family,model,eval_level,split,scope,test_acc,train_acc,balanced_acc,weighted_f1,wt_precision,wt_recall,wt_f1,ht_precision,ht_recall,ht_f1,auc,avg_precision,mcc,ht_support,wt_support,num_test,threshold,legacy_baseline_acc,source_path
A_control__bilstm__dependent,sequence,bilstm,session,dependent,A_control,0.2317,,0.5,,,,0.0,0.2317,1.0,0.3762,0.7903,0.4917,0.0,19,63,82,0.5,,results/neural_networks/experiments/_summary/master_metrics.csv
A_control__bilstm__independent,sequence,bilstm,session,independent,A_control,0.4556,,0.6549,,,,0.4731,0.2794,1.0,0.4368,0.7487,0.3475,0.2942,19,71,90,0.5,,results/neural_networks/experiments/_summary/master_metrics.csv
A_control__cnn1d__dependent,sequence,cnn1d,session,dependent,A_control,0.5,,0.5643,,,,0.5773,0.2708,0.6842,0.3881,0.604,0.3276,0.1102,19,63,82,0.5,,results/neural_networks/experiments/_summary/master_metrics.csv
A_control__cnn1d__independent,sequence,cnn1d,session,independent,A_control,0.6333,,0.517,,,,0.7556,0.2308,0.3158,0.2667,0.6093,0.3639,0.0307,19,71,90,0.5,,results/neural_networks/experiments/_summary/master_metrics.csv
A_control__transformer__dependent,sequence,transformer,session,dependent,A_control,0.6585,,0.6675,,,,0.7455,0.3714,0.6842,0.4815,0.655,0.35,0.2858,19,63,82,0.5,,results/neural_networks/experiments/_summary/master_metrics.csv
A_control__transformer__independent,sequence,transformer,session,independent,A_control,0.5444,,0.6342,,,,0.6239,0.2885,0.7895,0.4225,0.6753,0.4742,0.2217,19,71,90,0.5,,results/neural_networks/experiments/_summary/master_metrics.csv
B_beta0.5__bilstm__dependent,sequence,bilstm,session,dependent,B_beta0.5,0.7683,,0.5,,,,0.869,0.0,0.0,0.0,0.665,0.5014,0.0,19,63,82,0.5,,results/neural_networks/experiments/_summary/master_metrics.csv
B_beta0.5__bilstm__independent,sequence,bilstm,session,independent,B_beta0.5,0.7778,,0.5508,,,,0.8701,0.4286,0.1579,0.2308,0.6234,0.3055,0.1547,19,71,90,0.5,,results/neural_networks/experiments/_summary/master_metrics.csv
B_beta0.5__cnn1d__dependent,sequence,cnn1d,session,dependent,B_beta0.5,0.6463,,0.5125,,,,0.768,0.25,0.2632,0.2564,0.5831,0.3401,0.0246,19,63,82,0.5,,results/neural_networks/experiments/_summary/master_metrics.csv
B_beta0.5__cnn1d__independent,sequence,cnn1d,session,independent,B_beta0.5,0.6444,,0.5241,,,,0.7647,0.24,0.3158,0.2727,0.5322,0.366,0.0439,19,71,90,0.5,,results/neural_networks/experiments/_summary/master_metrics.csv
